origin_district,impact_day,impacted,destination_district,visit_day,visits
1401,911,42817,2202,926,0.0
1401,911,42817,2203,926,0.0
1401,911,42817,2204,926,0.0
1401,911,42817,2205,926,0.0
1401,911,42817,2301,926,3.0
1401,911,42817,2302,926,1.0
1401,911,42817,2303,926,0.0
1401,911,42817,2304,926,0.0
1401,911,42817,2305,926,0.0
1401,911,42817,2306,926,0.0
1401,911,42817,2307,926,1.0
1401,911,42817,2308,926,0.0
1401,911,42817,2309,926,0.0
1401,911,42817,2310,926,0.0
1401,911,42817,2311,926,0.0
1401,911,42817,2312,926,0.0
1401,911,42817,2313,926,0.0
1401,911,42817,2401,926,18.0
1401,911,42817,2402,926,0.0
1401,911,42817,2403,926,96.0
1401,911,42817,2404,926,0.0
1401,911,42817,2405,926,0.0
1401,911,42817,2406,926,0.0
1401,911,42817,2407,926,0.0
1401,911,42817,2408,926,0.0
1401,911,42817,2409,926,0.0
1401,911,42817,2410,926,0.0
1401,911,42817,2411,926,0.0
1401,911,42817,2412,926,0.0
1401,911,42817,2413,926,0.0
1401,911,42817,2414,926,0.0
1401,911,42817,2415,926,0.0
1401,911,42817,2416,926,1.0
1401,911,42817,2501,926,2.0
1401,911,42817,2502,926,0.0
1401,911,42817,2503,926,0.0
1401,911,42817,2504,926,0.0
1401,911,42817,2505,926,0.0
1401,911,42817,2506,926,0.0
1401,911,42817,2507,926,0.0
1401,911,42817,2508,926,0.0
1401,911,42817,2509,926,0.0
1401,911,42817,2510,926,0.0
1401,911,42817,2511,926,0.0
1401,911,42817,2601,926,0.0
1401,911,42817,2602,926,0.0
1401,911,42817,2603,926,0.0
1401,911,42817,2604,926,0.0
1401,911,42817,2605,926,0.0
1401,911,42817,2701,926,3.0
1401,911,42817,2702,926,0.0
1401,911,42817,2703,926,0.0
1401,911,42817,2704,926,0.0
1401,911,42817,2705,926,0.0
1401,911,42817,2706,926,0.0
1401,911,42817,2707,926,0.0
1401,911,42817,2708,926,0.0
1401,911,42817,2709,926,0.0
1401,911,42817,2710,926,0.0
1401,911,42817,2801,926,10.0
1401,911,42817,2802,926,0.0
1401,911,42817,2803,926,0.0
1401,911,42817,2804,926,0.0
1401,911,42817,2805,926,0.0
1401,911,42817,2806,926,0.0
1401,911,42817,2807,926,0.0
1401,911,42817,2901,926,3.0
1401,911,42817,2902,926,0.0
1401,911,42817,2903,926,0.0
1401,911,42817,2904,926,0.0
1401,911,42817,2905,926,0.0
1401,911,42817,2906,926,0.0
1401,911,42817,2907,926,0.0
1401,911,42817,2908,926,0.0
1401,911,42817,2909,926,0.0
1401,911,42817,2910,926,0.0
1401,911,42817,2911,926,1.0
1401,911,42817,2912,926,0.0
1401,911,42817,2913,926,0.0
1401,911,42817,2914,926,0.0
1401,911,42817,2915,926,0.0
1401,911,42817,2916,926,0.0
1401,911,42817,2917,926,0.0
